no_months,age,gender,income,no_months_ctr,no_months_ctr_end,phones,age_head_hh,edu_head_hh,income_head_hh,house_type,work_situation,no_calls,no_minutes,no_msgs,no_calls6,no_minutes6,no_msgs6,servcon,acq_costs,switch
57,47,M,30.97,34,-9.000,1,4,1,5,1,1,58,65.18,0,121,154.33,3,0,400.00,0
56,42,M,12.17,27,-3.000,2,3,2,4,4,1,65,57.22,6,89,119.85,9,0,400.00,0
54,39,V,70.51,18,5.000,7,3,2,3,2,1,158,160.92,78,150,173.02,64,0,400.00,0
54,,,21.84,42,-18.000,2,6,2,3,1,1,56,93.87,6,63,86.92,3,0,400.00,0
53,26,M,8.72,17,6.000,2,4,3,5,4,1,390,295.80,168,271,239.30,198,0,400.00,0
53,58,M,20.13,14,9.000,2,5,3,5,2,1,14,15.23,5,24,24.37,3,0,400.00,0
53,44,V,25.81,26,-6.000,4,3,2,2,3,1,3,8.28,51,5,3.18,12,0,400.00,0
49,42,V,11.29,15,10.000,3,3,2,3,1,1,51,39.22,52,45,45.03,68,0,400.00,0
26,45,V,36.53,14,9.000,2,4,3,5,2,1,0,0.00,0,165,127.15,59,0,400.00,0
53,65,V,8.36,40,-29.000,1,5,3,5,4,1,0,0.00,0,16,49.80,2,0,400.00,0
52,40,V,18.29,19,6.000,2,3,3,5,4,1,35,33.20,73,30,25.32,49,0,400.00,0
52,34,M,29.06,23,-5.000,4,2,1,1,4,1,78,220.37,28,79,133.40,16,0,400.00,0
31,26,V,23.43,19,-7.000,2,2,1,5,2,1,75,148.83,28,108,170.93,29,0,400.00,0
51,52,M,17.69,21,7.000,2,4,1,1,3,2,45,52.50,0,52,54.27,1,0,400.00,0
45,22,V,37.34,16,7.000,5,5,3,5,4,1,134,99.90,172,108,129.43,125,0,400.00,0
29,53,M,24.08,9,14.000,2,4,2,4,2,1,63,36.98,75,36,21.97,19,0,400.00,0
36,31,V,8.99,24,0.000,1,2,1,1,4,2,27,98.48,55,31,94.73,56,0,400.00,0
34,40,V,42.86,20,3.000,13,3,2,1,4,2,48,97.52,45,62,121.52,64,0,400.00,0
